Model,Name,Company,Engine,Nbr of Engines,Weight,Flap Type,Landing Gear
Mark IX,Spitfire,Supermarine,Merlin,1,5500,Split,Tail dragger
P-51,Mustang,North American,Merlin,1,7600,Plain,Tail Dragger
F4U,Corsair,Vought,R-2800,1,9200,Fowler,Tail Dragger
P-47,Thunderbolt,Republic,R-2800,1,10000,Plain,Tail Dragger
P-40,Warhawk,Curtis-Wright,V-1710,1,6000,Split,Tail Dragger
Lanc,Lancaster,Avro,Merlin,4,36900,Plain,Tail Dragger
DE8,Mosquito,de Havilland,Merlin,2,14300,Plain,Tail Dragger
P-38,Lightning,Lockheed,V-1710,2,12800,Plain,Tripod
P-39,Aircobra,Bell,V-1710,1,6500,Plain,Tripod
B-17,Flying Fortress,Boeing,R-1820,4,36135,Plain,Tail dragger
B-25,Mitchell,North American,R-2600,2,19480,Plain,Tail dragger
